Event source,Event name,Resources
apigateway.amazonaws.com,,
apigateway.amazonaws.com,CreateApi,[]
apigateway.amazonaws.com,CreateDeployment,[]
apigateway.amazonaws.com,CreateIntegration,[]
apigateway.amazonaws.com,CreateRoute,[]
apigateway.amazonaws.com,CreateStage,"[{""resourceType"":""AWS::ApiGateway::Stage"",""resourceName"":""prod""}]"
apigateway.amazonaws.com,DeleteApi,[]
apigateway.amazonaws.com,DeleteDeployment,[]
apigateway.amazonaws.com,DeleteIntegration,[]
apigateway.amazonaws.com,DeleteRoute,[]
apigateway.amazonaws.com,DeleteStage,[]
apigateway.amazonaws.com,GetApi,[]
apigateway.amazonaws.com,GetDeployment,[]
apigateway.amazonaws.com,GetIntegration,[]
apigateway.amazonaws.com,GetRoute,[]
apigateway.amazonaws.com,GetStage,[]
apigateway.amazonaws.com,UpdateStage,"[{""resourceType"":""AWS::ApiGateway::Stage"",""resourceName"":""prod""}]"
bedrock.amazonaws.com,InvokeModel,[]
cloudfront.amazonaws.com,CreateDistributionWithTags,[]
cloudfront.amazonaws.com,CreateOriginAccessControl,[]
cloudfront.amazonaws.com,DeleteDistribution,[]
cloudfront.amazonaws.com,DeleteOriginAccessControl,[]
cloudfront.amazonaws.com,GetDistribution,[]
cloudfront.amazonaws.com,GetOriginAccessControl,[]
cloudfront.amazonaws.com,ListTagsForResource,[]
cloudfront.amazonaws.com,UpdateDistribution,[]
iam.amazonaws.com,AttachRolePolicy,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::<aws-account-number-here>:policy/GenAiQuickstartKafkaTriggerWebsocketConnectionsApi-de420a71-inline""},{""resourceType"":""AWS::IAM::Role"",""resourceName"":""GenAiQuickstartKafkaTriggerWebsocketConnectionsApi-de420a71""}]"
iam.amazonaws.com,AttachRolePolicy,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::<aws-account-number-here>:policy/GenAiQuickstartKafkaTriggerWebsocketConnectionsApi-de420a71-logs""},{""resourceType"":""AWS::IAM::Role"",""resourceName"":""GenAiQuickstartKafkaTriggerWebsocketConnectionsApi-de420a71""}]"
iam.amazonaws.com,AttachRolePolicy,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::<aws-account-number-here>:policy/GenAiQuickstartWebsocketChatApi-de420a71-logs""},{""resourceType"":""AWS::IAM::Role"",""resourceName"":""GenAiQuickstartWebsocketChatApi-de420a71""}]"
iam.amazonaws.com,AttachRolePolicy,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::<aws-account-number-here>:policy/GenAiQuickstartKafkaTriggerVectorSearch-de420a71-inline""},{""resourceType"":""AWS::IAM::Role"",""resourceName"":""GenAiQuickstartKafkaTriggerVectorSearch-de420a71""}]"
iam.amazonaws.com,AttachRolePolicy,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::<aws-account-number-here>:policy/GenAiQuickstartKafkaTriggerVectorSearch-de420a71-logs""},{""resourceType"":""AWS::IAM::Role"",""resourceName"":""GenAiQuickstartKafkaTriggerVectorSearch-de420a71""}]"
iam.amazonaws.com,CreatePolicy,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::<aws-account-number-here>:policy/GenAiQuickstartKafkaTriggerWebsocketConnectionsApi-de420a71-logs""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""GenAiQuickstartKafkaTriggerWebsocketConnectionsApi-de420a71-logs""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""ANPAZIDZSAX7PTMPXYBYP""}]"
iam.amazonaws.com,CreatePolicy,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""GenAiQuickstartWebsocketChatApi-de420a71-logs""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::<aws-account-number-here>:policy/GenAiQuickstartWebsocketChatApi-de420a71-logs""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""ANPAZIDZSAX7AO5OXESB7""}]"
iam.amazonaws.com,CreatePolicy,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""ANPAZIDZSAX7JCR6QUAOE""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::<aws-account-number-here>:policy/GenAiQuickstartKafkaTriggerWebsocketConnectionsApi-de420a71-inline""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""GenAiQuickstartKafkaTriggerWebsocketConnectionsApi-de420a71-inline""}]"
iam.amazonaws.com,CreatePolicy,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""ANPAZIDZSAX7OGXRYORDP""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""GenAiQuickstartKafkaTriggerVectorSearch-de420a71-logs""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::<aws-account-number-here>:policy/GenAiQuickstartKafkaTriggerVectorSearch-de420a71-logs""}]"
iam.amazonaws.com,CreatePolicy,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""ANPAZIDZSAX7IPFR4JKZQ""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""GenAiQuickstartKafkaTriggerVectorSearch-de420a71-inline""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::<aws-account-number-here>:policy/GenAiQuickstartKafkaTriggerVectorSearch-de420a71-inline""}]"
iam.amazonaws.com,CreateRole,"[{""resourceType"":""AWS::IAM::Role"",""resourceName"":""AROAZIDZSAX7JFXOTB27T""},{""resourceType"":""AWS::IAM::Role"",""resourceName"":""arn:aws:iam::<aws-account-number-here>:role/GenAiQuickstartWebsocketChatApi-de420a71""},{""resourceType"":""AWS::IAM::Role"",""resourceName"":""GenAiQuickstartWebsocketChatApi-de420a71""}]"
iam.amazonaws.com,CreateRole,"[{""resourceType"":""AWS::IAM::Role"",""resourceName"":""AROAZIDZSAX7J7QOPKZJI""},{""resourceType"":""AWS::IAM::Role"",""resourceName"":""arn:aws:iam::<aws-account-number-here>:role/GenAiQuickstartKafkaTriggerWebsocketConnectionsApi-de420a71""},{""resourceType"":""AWS::IAM::Role"",""resourceName"":""GenAiQuickstartKafkaTriggerWebsocketConnectionsApi-de420a71""}]"
iam.amazonaws.com,CreateRole,"[{""resourceType"":""AWS::IAM::Role"",""resourceName"":""AROAZIDZSAX7B7UV2XAGS""},{""resourceType"":""AWS::IAM::Role"",""resourceName"":""arn:aws:iam::<aws-account-number-here>:role/GenAiQuickstartKafkaTriggerVectorSearch-de420a71""},{""resourceType"":""AWS::IAM::Role"",""resourceName"":""GenAiQuickstartKafkaTriggerVectorSearch-de420a71""}]"
iam.amazonaws.com,CreateServiceLinkedRole,[]
iam.amazonaws.com,DeletePolicy,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::<aws-account-number-here>:policy/GenAiQuickstartKafkaTriggerVectorSearch-7ae3e496-inline""}]"
iam.amazonaws.com,DeletePolicy,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::<aws-account-number-here>:policy/GenAiQuickstartKafkaTriggerVectorSearch-7ae3e496-logs""}]"
iam.amazonaws.com,DeletePolicy,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::<aws-account-number-here>:policy/GenAiQuickstartWebsocketChatApi-7ae3e496-logs""}]"
iam.amazonaws.com,DeletePolicy,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::<aws-account-number-here>:policy/GenAiQuickstartKafkaTriggerWebsocketConnectionsApi-7ae3e496-inline""}]"
iam.amazonaws.com,DeletePolicy,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::<aws-account-number-here>:policy/GenAiQuickstartKafkaTriggerWebsocketConnectionsApi-7ae3e496-logs""}]"
iam.amazonaws.com,DeleteRole,"[{""resourceType"":""AWS::IAM::Role"",""resourceName"":""GenAiQuickstartKafkaTriggerVectorSearch-7ae3e496""}]"
iam.amazonaws.com,DeleteRole,"[{""resourceType"":""AWS::IAM::Role"",""resourceName"":""GenAiQuickstartWebsocketChatApi-7ae3e496""}]"
iam.amazonaws.com,DeleteRole,"[{""resourceType"":""AWS::IAM::Role"",""resourceName"":""GenAiQuickstartKafkaTriggerWebsocketConnectionsApi-7ae3e496""}]"
iam.amazonaws.com,DetachRolePolicy,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::<aws-account-number-here>:policy/GenAiQuickstartKafkaTriggerVectorSearch-7ae3e496-inline""},{""resourceType"":""AWS::IAM::Role"",""resourceName"":""GenAiQuickstartKafkaTriggerVectorSearch-7ae3e496""}]"
iam.amazonaws.com,DetachRolePolicy,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::<aws-account-number-here>:policy/GenAiQuickstartKafkaTriggerVectorSearch-7ae3e496-logs""},{""resourceType"":""AWS::IAM::Role"",""resourceName"":""GenAiQuickstartKafkaTriggerVectorSearch-7ae3e496""}]"
iam.amazonaws.com,DetachRolePolicy,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::<aws-account-number-here>:policy/GenAiQuickstartWebsocketChatApi-7ae3e496-logs""},{""resourceType"":""AWS::IAM::Role"",""resourceName"":""GenAiQuickstartWebsocketChatApi-7ae3e496""}]"
iam.amazonaws.com,DetachRolePolicy,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::<aws-account-number-here>:policy/GenAiQuickstartKafkaTriggerWebsocketConnectionsApi-7ae3e496-inline""},{""resourceType"":""AWS::IAM::Role"",""resourceName"":""GenAiQuickstartKafkaTriggerWebsocketConnectionsApi-7ae3e496""}]"
iam.amazonaws.com,DetachRolePolicy,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::<aws-account-number-here>:policy/GenAiQuickstartKafkaTriggerWebsocketConnectionsApi-7ae3e496-logs""},{""resourceType"":""AWS::IAM::Role"",""resourceName"":""GenAiQuickstartKafkaTriggerWebsocketConnectionsApi-7ae3e496""}]"
iam.amazonaws.com,GetPolicy,[]
iam.amazonaws.com,GetPolicyVersion,[]
iam.amazonaws.com,GetRole,[]
iam.amazonaws.com,ListAttachedRolePolicies,[]
iam.amazonaws.com,ListInstanceProfilesForRole,[]
iam.amazonaws.com,ListPolicyVersions,[]
iam.amazonaws.com,ListRolePolicies,[]
kms.amazonaws.com,CreateGrant,"[{""resourceType"":""AWS::KMS::Key"",""resourceName"":""arn:aws:kms:us-east-1:<aws-account-number-here>:key/0f462fe8-59bd-4df2-ba23-81509310e189""}]"
kms.amazonaws.com,Decrypt,[]
kms.amazonaws.com,DescribeKey,"[{""resourceName"":""alias/aws/lambda""}]"
kms.amazonaws.com,Encrypt,"[{""resourceName"":""alias/aws/lambda""}]"
kms.amazonaws.com,GenerateDataKey,"[{""resourceName"":""alias/aws/secretsmanager""}]"
lambda.amazonaws.com,AddPermission20150331v2,"[{""resourceType"":""AWS::Lambda::Function"",""resourceName"":""GenAiQuickstartWebsocketChatApi-de420a71""}]"
lambda.amazonaws.com,AddPermission20150331v2,"[{""resourceType"":""AWS::Lambda::Function"",""resourceName"":""GenAiQuickstartWebsocketChatApi-7ae3e496""}]"
lambda.amazonaws.com,CreateEventSourceMapping20150331,[]
lambda.amazonaws.com,CreateFunction20150331,"[{""resourceType"":""AWS::Lambda::Function"",""resourceName"":""GenAiQuickstartKafkaTriggerWebsocketConnectionsApi-de420a71""}]"
lambda.amazonaws.com,CreateFunction20150331,"[{""resourceType"":""AWS::Lambda::Function"",""resourceName"":""GenAiQuickstartWebsocketChatApi-de420a71""}]"
lambda.amazonaws.com,CreateFunction20150331,[]
lambda.amazonaws.com,CreateFunction20150331,"[{""resourceType"":""AWS::Lambda::Function"",""resourceName"":""GenAiQuickstartKafkaTriggerVectorSearch-de420a71""}]"
lambda.amazonaws.com,CreateFunction20150331,"[{""resourceType"":""AWS::Lambda::Function"",""resourceName"":""GenAiQuickstartKafkaTriggerWebsocketConnectionsApi-7ae3e496""}]"
lambda.amazonaws.com,CreateFunction20150331,"[{""resourceType"":""AWS::Lambda::Function"",""resourceName"":""GenAiQuickstartKafkaTriggerVectorSearch-7ae3e496""}]"
lambda.amazonaws.com,DeleteEventSourceMapping20150331,[]
lambda.amazonaws.com,DeleteFunction20150331,"[{""resourceType"":""AWS::Lambda::Function"",""resourceName"":""GenAiQuickstartKafkaTriggerVectorSearch-7ae3e496""}]"
lambda.amazonaws.com,DeleteFunction20150331,"[{""resourceType"":""AWS::Lambda::Function"",""resourceName"":""GenAiQuickstartWebsocketChatApi-7ae3e496""}]"
lambda.amazonaws.com,DeleteFunction20150331,"[{""resourceType"":""AWS::Lambda::Function"",""resourceName"":""GenAiQuickstartKafkaTriggerWebsocketConnectionsApi-7ae3e496""}]"
lambda.amazonaws.com,DeleteLayerVersion20181031,[]
lambda.amazonaws.com,GetEventSourceMapping20150331,[]
lambda.amazonaws.com,GetFunction20150331v2,[]
lambda.amazonaws.com,GetFunctionCodeSigningConfig,[]
lambda.amazonaws.com,GetFunctionConfiguration20150331v2,[]
lambda.amazonaws.com,GetLayerVersion20181031,[]
lambda.amazonaws.com,GetPolicy20150331v2,[]
lambda.amazonaws.com,ListTags20170331,[]
lambda.amazonaws.com,ListVersionsByFunction20150331,[]
lambda.amazonaws.com,PublishLayerVersion20181031,[]
lambda.amazonaws.com,PublishVersion20150331,[]
lambda.amazonaws.com,RemovePermission20150331v2,"[{""resourceType"":""AWS::Lambda::Function"",""resourceName"":""GenAiQuickstartWebsocketChatApi-7ae3e496""}]"
lambda.amazonaws.com,UpdateFunctionCode20150331v2,"[{""resourceType"":""AWS::Lambda::Function"",""resourceName"":""GenAiQuickstartKafkaTriggerVectorSearch-7ae3e496""}]"
logs.amazonaws.com,CreateLogGroup,[]
logs.amazonaws.com,DeleteLogGroup,[]
logs.amazonaws.com,DescribeLogGroups,[]
logs.amazonaws.com,ListTagsForResource,[]
logs.amazonaws.com,PutRetentionPolicy,[]
s3.amazonaws.com,CreateBucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""genai-quickstart-frontend-de420a71""}]"
s3.amazonaws.com,CreateBucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""genai-quickstart-frontend-7ae3e496""}]"
s3.amazonaws.com,DeleteBucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""genai-quickstart-frontend-7ae3e496""}]"
s3.amazonaws.com,DeleteBucketOwnershipControls,[]
s3.amazonaws.com,DeleteBucketPolicy,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""genai-quickstart-frontend-7ae3e496""}]"
s3.amazonaws.com,DeleteBucketPublicAccessBlock,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""genai-quickstart-frontend-7ae3e496""}]"
s3.amazonaws.com,DeleteBucketWebsite,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""genai-quickstart-frontend-7ae3e496""}]"
s3.amazonaws.com,GetAccelerateConfiguration,[]
s3.amazonaws.com,GetBucketAcl,[]
s3.amazonaws.com,GetBucketCors,[]
s3.amazonaws.com,GetBucketEncryption,[]
s3.amazonaws.com,GetBucketLifecycle,[]
s3.amazonaws.com,GetBucketLocation,[]
s3.amazonaws.com,GetBucketLogging,[]
s3.amazonaws.com,GetBucketObjectLockConfiguration,[]
s3.amazonaws.com,GetBucketOwnershipControls,[]
s3.amazonaws.com,GetBucketPolicy,[]
s3.amazonaws.com,GetBucketPublicAccessBlock,[]
s3.amazonaws.com,GetBucketReplication,[]
s3.amazonaws.com,GetBucketRequestPayment,[]
s3.amazonaws.com,GetBucketTagging,[]
s3.amazonaws.com,GetBucketVersioning,[]
s3.amazonaws.com,GetBucketWebsite,[]
s3.amazonaws.com,PutBucketAcl,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""genai-quickstart-frontend-de420a71""}]"
s3.amazonaws.com,PutBucketAcl,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""genai-quickstart-frontend-7ae3e496""}]"
s3.amazonaws.com,PutBucketOwnershipControls,[]
s3.amazonaws.com,PutBucketPolicy,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""genai-quickstart-frontend-de420a71""}]"
s3.amazonaws.com,PutBucketPolicy,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""genai-quickstart-frontend-7ae3e496""}]"
s3.amazonaws.com,PutBucketPublicAccessBlock,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""genai-quickstart-frontend-de420a71""}]"
s3.amazonaws.com,PutBucketPublicAccessBlock,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""genai-quickstart-frontend-7ae3e496""}]"
s3.amazonaws.com,PutBucketWebsite,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""genai-quickstart-frontend-de420a71""}]"
s3.amazonaws.com,PutBucketWebsite,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""genai-quickstart-frontend-7ae3e496""}]"
secretsmanager.amazonaws.com,CreateSecret,"[{""resourceType"":""AWS::SecretsManager::Secret"",""resourceName"":""confluent/chatbot-api/creds/de420a71""}]"
secretsmanager.amazonaws.com,CreateSecret,"[{""resourceType"":""AWS::SecretsManager::Secret"",""resourceName"":""confluent/vectorsearch/mongo/creds/de420a71""}]"
secretsmanager.amazonaws.com,CreateSecret,"[{""resourceType"":""AWS::SecretsManager::Secret"",""resourceName"":""confluent/vectorsearch/schema-registry/creds/de420a71""}]"
secretsmanager.amazonaws.com,DeleteSecret,"[{""resourceType"":""AWS::SecretsManager::Secret"",""resourceName"":""arn:aws:secretsmanager:us-east-1:<aws-account-number-here>:secret:confluent/vectorsearch/schema-registry/creds/7ae3e496-vhNMYu""}]"
secretsmanager.amazonaws.com,DeleteSecret,"[{""resourceType"":""AWS::SecretsManager::Secret"",""resourceName"":""arn:aws:secretsmanager:us-east-1:<aws-account-number-here>:secret:confluent/chatbot-api/creds/7ae3e496-Rth3hA""}]"
secretsmanager.amazonaws.com,DeleteSecret,"[{""resourceType"":""AWS::SecretsManager::Secret"",""resourceName"":""arn:aws:secretsmanager:us-east-1:<aws-account-number-here>:secret:confluent/vectorsearch/mongo/creds/7ae3e496-VxATyC""}]"
secretsmanager.amazonaws.com,DescribeSecret,"[{""resourceType"":""AWS::SecretsManager::Secret"",""resourceName"":""arn:aws:secretsmanager:us-east-1:<aws-account-number-here>:secret:confluent/chatbot-api/creds/de420a71-Q88P5v""}]"
secretsmanager.amazonaws.com,DescribeSecret,"[{""resourceType"":""AWS::SecretsManager::Secret"",""resourceName"":""arn:aws:secretsmanager:us-east-1:<aws-account-number-here>:secret:confluent/vectorsearch/schema-registry/creds/de420a71-lBa87J""}]"
secretsmanager.amazonaws.com,DescribeSecret,"[{""resourceType"":""AWS::SecretsManager::Secret"",""resourceName"":""arn:aws:secretsmanager:us-east-1:<aws-account-number-here>:secret:confluent/vectorsearch/mongo/creds/de420a71-JcusOw""}]"
secretsmanager.amazonaws.com,GetResourcePolicy,"[{""resourceType"":""AWS::SecretsManager::Secret"",""resourceName"":""arn:aws:secretsmanager:us-east-1:<aws-account-number-here>:secret:confluent/chatbot-api/creds/de420a71-Q88P5v""}]"
secretsmanager.amazonaws.com,GetResourcePolicy,"[{""resourceType"":""AWS::SecretsManager::Secret"",""resourceName"":""arn:aws:secretsmanager:us-east-1:<aws-account-number-here>:secret:confluent/vectorsearch/mongo/creds/de420a71-JcusOw""}]"
secretsmanager.amazonaws.com,GetResourcePolicy,"[{""resourceType"":""AWS::SecretsManager::Secret"",""resourceName"":""arn:aws:secretsmanager:us-east-1:<aws-account-number-here>:secret:confluent/vectorsearch/schema-registry/creds/de420a71-lBa87J""}]"
secretsmanager.amazonaws.com,GetSecretValue,"[{""resourceType"":""AWS::SecretsManager::Secret"",""resourceName"":""arn:aws:secretsmanager:us-east-1:<aws-account-number-here>:secret:confluent/chatbot-api/creds/de420a71-Q88P5v""}]"
secretsmanager.amazonaws.com,GetSecretValue,"[{""resourceType"":""AWS::SecretsManager::Secret"",""resourceName"":""arn:aws:secretsmanager:us-east-1:<aws-account-number-here>:secret:confluent/vectorsearch/schema-registry/creds/de420a71-lBa87J""}]"
secretsmanager.amazonaws.com,GetSecretValue,"[{""resourceType"":""AWS::SecretsManager::Secret"",""resourceName"":""arn:aws:secretsmanager:us-east-1:<aws-account-number-here>:secret:confluent/vectorsearch/mongo/creds/de420a71-JcusOw""}]"
secretsmanager.amazonaws.com,PutSecretValue,"[{""resourceType"":""AWS::SecretsManager::Secret"",""resourceName"":""arn:aws:secretsmanager:us-east-1:<aws-account-number-here>:secret:confluent/chatbot-api/creds/de420a71-Q88P5v""}]"
secretsmanager.amazonaws.com,PutSecretValue,"[{""resourceType"":""AWS::SecretsManager::Secret"",""resourceName"":""arn:aws:secretsmanager:us-east-1:<aws-account-number-here>:secret:confluent/vectorsearch/mongo/creds/de420a71-JcusOw""}]"
secretsmanager.amazonaws.com,PutSecretValue,"[{""resourceType"":""AWS::SecretsManager::Secret"",""resourceName"":""arn:aws:secretsmanager:us-east-1:<aws-account-number-here>:secret:confluent/vectorsearch/schema-registry/creds/de420a71-lBa87J""}]"
sts.amazonaws.com,GetCallerIdentity,[]